author,review,date_review,note,cdiscount_response,cdiscount_response_date,cdiscount_response_content,scores
beatrice pertuizet,"commande d'une cafetière en décembre 2023 .  colis reçu éventré ,  refusé lors de la livraison .  mondial relay a remboursé cdiscount le 22 décembre 2023 .  malgré plusieurs réclamations ,  toujours aucun remboursement par cdiscount .  on me dit à chaque fois qu'on va me rappeller .  toujours rien à ce jour . ",27/04/2024,1,1,29/04/2024,"bonjour béatrice,je comprends votre impatience car le délai semble particulièrement long 🙁je vais vous envoyer une demande d'informations depuis ce site pour que je puisse transmettre votre message à notre service clients.à tout de suite,damien","{'neg': 0.064, 'neu': 0.936, 'pos': 0.0, 'compound': -0.6219}"
monica,"je les utilise à raison d un par jour ,ma chienne à 11ans le véto constate une bonne dentition ,je vous les recommande pour nos toutous",26/04/2024,5,0,,,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.5267}"
cindy nicoli,"livraison très bien mais manque une pièce au produit .  4 appels passés au service client et toujours pas de solution trouvée avec le vendeur !! pour un produit à 1230 euros j'estime que la solution devrait être trouvée très rapidement ,  attendre encore et encore ma patience a des limites .  poursuite en vue si pas de solution d'ici la fin de semaine ,  très décu du service client ou on réexplique à chaque fois le même problème ,  pas de discussion possible !!!!",22/04/2024,4,1,23/04/2024,"bonjour cindy,je vous remercie d'avoir pris le temps de partager votre avis et je suis désolé de cette expérience décevante.quel que soit le montant de votre commande, la priorité est de vous apporter une solution. et notre service clients est là pour prendre le relais si le vendeur ne vous répond pas, ou si ses réponses ne vous donnent pas satisfaction.vous trouverez des explications ici ➡️ https://clients.cdiscount.com/frequentlyaskedquestions.html?userinput=qui%2520contacter%2520si%2520je%2520ne%2520suis%2520pas%2520satisfait%28e%29%2520des%2520%25c3%25a9changes%2520avec%2520mon%2520vendeur%2520%3fje reste aussi à votre écoute si besoin !à bientôt,damien","{'neg': 0.105, 'neu': 0.847, 'pos': 0.048, 'compound': -0.7117}"
lucette bernadaux,je verrai quand j aurais reu l article sinon trustpilot es correcte,29/04/2024,5,0,,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
bsc,"j'ai réalisé une commande ce soir ,  j'ai bien fait en sorte d'éviter toutes leurs propositions d'abonnement à leur programme ""à volonté"". toutefois quelle surprise ,  je vois sur mon compte bancaire que je suis à la fois prélevée de ma commande ,  mais aussi de 29euros d'abonnement alors que je n'ai jamais autorisé cela .  de plus ,  il est inscrit sur leur site que je bénéficie d'un essai ""gratuit"" du 28 avril au 04 mai ,  ils s'expliquent dans leur mail ""vous pouvez profiter gratuitement de vos avantages pendant une période d'essai de 6 jours sans engagement . a la fin de cette période ,  un prélèvement automatique de 29 , 00 €(1) aura lieu (une pré-autorisation de paiement est demandée lors de la validation de la commande)."" alors pourquoi ai-je été prélevé ???il s'agit de ma première commande sur ce site et bien évidemment de la dernière .  ne vous faites pas avoir comme moi et évitez de commandez malgré des prix parfois alléchants . ",28/04/2024,1,1,29/04/2024,"bonjour bsc,je pense que vous avez dû vouloir bénéficier des nombreux avantages de l'abonnement cdiscount a volonté et en particulier la livraison gratuite.mais si vous avez décidé de le résilier, vous pouvez le faire simplement en suivant les indications qui ont été données 😉bonne fin de journée,damien","{'neg': 0.039, 'neu': 0.86, 'pos': 0.101, 'compound': 0.8692}"
roy,"reçu le mauvais article .  au moment de faire l'échange l'article n'est plus disponible .  cdiscount nous a remboursé sans soucis ,  mais au moment où l'article est revenu en ligne aucun geste de la part de cdiscount pour les frais d'envois .  40€ de frais d'envoi pour une erreur à la base qui a été faite par cdiscount . ..",29/04/2024,1,0,,,"{'neg': 0.05, 'neu': 0.852, 'pos': 0.098, 'compound': 0.6126}"
san,je connais cette ceinture et l'utilise régulièrement en faisant mon sport avec elle est parfaite,26/04/2024,5,0,,,"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.2732}"
patrick chereau,"je suis très satisfaite du paiement en 4 fois pour un cout minime de frais de dossier .  par contre j'aimerai avoir la possibilité de choisir les articles à payer en 4 fois .  dans ma dernière commande ,  j'aurai aimé en effet payer tout de suite la coque du téléphone et payer en 4 fois le téléphone . ",22/04/2024,4,1,23/04/2024,"bonjour patrick,merci pour votre avis et pour ces remarques ! je fais passer le mot aux équipes concernées 😉en attendant, vous pouvez séparer vos commandes pour choisir différents modes de paiement si vous le souhaitez.à bientôt j'espère !damien","{'neg': 0.137, 'neu': 0.74, 'pos': 0.122, 'compound': 0.4391}"
prat rousseau forage,"site non fiable : fraudé ,  non sécurisé ,  risque pour les clients :j'ai été victime d'usurpation d'identité en 2020 grâce à cdiscount .  après avoir fais les démarches auprès des autorités : dépôts de plainte ,  huissier ..... voila qu'aujourd'hui je suis harcelé par des sociétés de recouvrement pour une dette de 3000 euros que je ne dois évidement pas puisque mon compte est fermé depuis plus de 4 ans . je pense que cdiscount en plus d'être incompétent niveau sécurité de ses comptes clients fais preuve de négligences sur les données clients . malgré plusieurs courriers je n'ai jamais eu de retour de leur part ,  seul le dialogue de sourd avec leur société de recouvrement . ",26/04/2024,1,1,29/04/2024,"bonjour prat rousseau forage,je comprends votre mécontentement et nous allons essayer de résoudre cette situation 😉je vous propose de répondre à la demande d'informations que je vous envoie depuis ce site.cela me permettra de transmettre votre message à notre service clients.à tout de suite,damien","{'neg': 0.103, 'neu': 0.79, 'pos': 0.107, 'compound': 0.3111}"
dj bor,bonjour depuis le 22 mars que j ai signalé la panne de son lave vaisselle  aucun réparation a était fait cela 1 mois que j attend la pièces commandé le techniciens refuse de venir  sav est a fuir rien a avoir avec amazon le service est au top je demande l échange ou le remboursement  mais depuis 1 mois pas de nouvelle,25/04/2024,1,1,26/04/2024,"bonjour,je suis désolé de ce délai !il est bien normal que vous attendiez une solution au plus vite et je suis sûr que mes collègues du service clients font le nécessaire.si besoin, n'hésitez pas à les contacter depuis votre espace client, par téléphone ou en message privé sur les réseaux sociaux. il y aura toujours quelqu'un pour vous aider 😉je vous envoie une demande d'informations pour vérifier où en est votre dossier.merci de votre retour et à bientôt,damien","{'neg': 0.067, 'neu': 0.877, 'pos': 0.056, 'compound': -0.4667}"
vic piou,"prix très attractifs mais aucun service !!!! en cas de problème ,  aucun service après vente ,  aucun interlocuteur ,  obligation de se débrouiller tant bien que mal pour le résoudre sur son compte avec des demandes qui n aboutissent jamais !!!!!! réfléchissez vraiment a deux fois avant de basculer sur une formule lowcost téléphonique qui fonctionne plus ou moins correctement jusqu'au moindre petit problème ,  tel qu il soit ! je vous recommande de privilégier un opérateur digne de ce nom et compétent !!!!!",26/04/2024,1,1,29/04/2024,"bonjour vic piou,je suis désolé si vous n'avez pas bénéficié de l'aide que vous attendiez.pour vous aider, je vous propose de répondre à ma demande d'information que j'envoie depuis ce site.cela me permettra de transmettre votre avis à mes collègues du service clients 😉à tout de suite,damien","{'neg': 0.075, 'neu': 0.771, 'pos': 0.155, 'compound': 0.7267}"
bernard,tres bon site  et grace aux achats repetitifs des bons de cashback  ca motive pour d autres achats,28/04/2024,5,0,,,"{'neg': 0.071, 'neu': 0.536, 'pos': 0.393, 'compound': 0.8402}"
caroline lefevre,je viens de passer pa première commande chez cdiscount avec une offre bienvenue de 10€ et après m'avoir débité ils se sont aperçu que les chaises commandées etaient en rupture de stock ( mais après vérification elles sont par contre toujours bien en vente sur leur site ! ) donc commande annulée et si je souhaite la repasser je perds mon offre de bienvenue car leur service client considère que ma première commande est passée même si elle n'a pas été honorée ! le service client ne sert a rien !  ce site est a fuir absolument !,25/04/2024,1,1,25/04/2024,"bonjour caroline,nous vous avons visiblement déçue et j'en suis désolé 😞cette offre de bienvenue s'applique uniquement sur votre première commande sur le site. il n'est pas possible d'en bénéficier de nouveau en cas d'annulation ou de rétractation : cela fait partie des conditions de l'offre, que vous pouvez consulter sur la page d'accueil du site.il ne s'agit pas d'un manque de volonté ni de sérieux de la part de mes collègues du service clients qui sont toujours là pour vous renseigner.j'espère tout de même que nous aurons vite l'occasion de nous rattraper une prochaine fois.à bientôt,damien","{'neg': 0.086, 'neu': 0.813, 'pos': 0.1, 'compound': -0.4646}"
didier vingadassalon,"l'expérience s'est relativement bien déroulé mais malgré l'option cdiscount à volonté ,  on est toujours obligé de revenir en arrière pour connaitre les éventuelles frais de port",26/04/2024,4,0,,,"{'neg': 0.066, 'neu': 0.78, 'pos': 0.153, 'compound': 0.25}"
asus bechatta,"cliente c discount depuis 11 ans , là je résilie mon abonnement c discount à volonté ,  car je n'ai pas le moyen de la payer actuellement ,  donc il font disparaître ma cagnotte de 64 euros sans m'informer .  je trouve ça inadmissible après tous ces années de fidélité !!?? j'ai appelé plusieurs fois le service client en vain ! !? c'est vraiment dommage !",23/04/2024,1,1,23/04/2024,"bonjour asus,je suis désolé de cette déception 😞la cagnotte est réservée aux abonnés cdiscount à volonté. dans le cas d'une résiliation, le solde disponible sur la cagnotte est effectivement perdu comme précisé dans nos cgv (https://www.cdiscount.com/cdav).en revanche, si vous décidez de réactiver l'abonnement, les sommes encore disponibles et non expirées seront de nouveau utilisables.j'espère que nous aurons vite l'occasion de nous rattraper et que vous nous resterez fidèle !à bientôt,damien","{'neg': 0.187, 'neu': 0.772, 'pos': 0.041, 'compound': -0.902}"
pallud,"mon cher damien ,   je ne suis pas d'accord avec la réponse ,  je n'ai pas effectué d'achat de biens mobiliers ni technique , ma dernière commande date de fin 2023 pour l'achat d'un livre ,  je ne vois pas pourquoi il y aurait une garantie légale de conformité ,   dans la cas contraire qu'on me dise quel achat et sa date et à partir de quand on me peut résilier le compte pallud . cl  n° ooooooobmcef ,  je précise que tant tout cela n'aura pas été réglé vous aurez de mes nouvelles . ",26/04/2024,1,0,,,"{'neg': 0.035, 'neu': 0.895, 'pos': 0.07, 'compound': 0.69}"
laurent christian,"1er point: service client vraiment trop difficile à contacter et ensuite on a le droit au robot qui rabâche les mêmes phrases bateaux ,  il faut aller sur facebook pour trouver un interlocuteur qui renvoi au site et à l'automate . 2 ième point: les vendeurs tiers ne sont pas fiables ,  surtout ceux domiciliés en asie et bien trop souvent ce que l'on croit être une bonne affaire se transforme en fiasco ,  refus d'envoi ou pire livraisons qui n'arrivent pas ,  etc .  le commencement de la galère ,  des numéros de suivit ne correspondant à rien ,  réclamation auprès du livreur ,  etc . .du coup il serait bon d'améliorer tout cela et de fournir un service et surtout un service client aussi fiable et correcte qu'amazon avec qui ce genre de soucis se résout en un tour de mains . ",27/04/2024,2,1,29/04/2024,"bonjour laurent christian,je vous remercie de nous faire part de vos remarques qui nous aident à toujours nous améliorer 😉 nous prenons en compte ce type de messages pour mieux répondre à vos attentes, tant au niveau du service que des produits proposés.à bientôt, j'espèredamien","{'neg': 0.063, 'neu': 0.857, 'pos': 0.08, 'compound': 0.0039}"
michel platteau,"quelle catastrophe…. voilà deux mois que mon lisseur a été renvoyé en sav et le vendeur yabaoao trouve tout les prétextes pour ne pas le réparer ou l’échanger… quant a cdiscount ,  à part leur donner du temps supplémentaire à chaque échéance ,  faut pas compter dessus .  moi qui effectue également des commandes sur amazon ,  je peux vous assurer que le problème serait réglé en 24h chrono .  on a beau critiquer amazon et tenter les sites français ,  fuyez ! .",23/04/2024,1,1,23/04/2024,"bonjour michel,je suis désolé de cette prise en charge décevante 😕le vendeur est pourtant tenu de vous apporter une solution, et mes collègues du service clients sont là pour prendre le relais et vous aider si nécessaire.je vous envoie une demande d'informations pour vérifier. soyez sûr que nous ne vous laisserons pas solution !merci de votre retour et à bientôt,damien","{'neg': 0.036, 'neu': 0.882, 'pos': 0.083, 'compound': 0.5411}"
jean louis campagnolo,j'espère ne pas être deçu comme lors de mon dernier achat qui s'est soldé par une tres grosse deception,25/04/2024,5,1,26/04/2024,"bonjour jean-louis,merci de votre confiance et de votre fidélité ! je suis sûr que tout se passera bien 😊et n'oubliez pas que mes collègues du service clients restent disponibles pour vous aider si besoin !à bientôt sur le site,damien","{'neg': 0.061, 'neu': 0.65, 'pos': 0.289, 'compound': 0.56}"
david fichelle,"colis commandé il y a trois semaines et pas reçu ,  des dizaines de messages entre cdiscount et le transporteurs chronopost pour retrouver mon colis .  rien y fait .  je déconseille cdiscount et chronopost qui se renvoient la balle .  le perdant c""est le client qui paye et qui  n'est pas livré .   suite de l'expérience le 26 avril , cdiscount me propose un remboursement sans geste commercial prétextant que le colis n'est pas arrivé pour rupture .  bizarrement sur le site cela indique produit en stock .  je viens de le recommander j'espère cette fois ci le recevoir ?",26/04/2024,1,1,26/04/2024,"bonjour david,[mise à jour : le service clients a bien reçu votre contestation de livraison et a procédé au remboursement de votre commande.]--je suis désolé de ce désagrément et je comprends que vous soyez mécontent 😞en cas de problème ou de retard de livraison, mes collègues du service clients déclenchent une enquête auprès du transporteur pour vous apporter une solution.il faut normalement compter quelques jours de délai pour avoir une réponse : je vous envoie une demande d'informations pour vérifier ce qu'il se passe, en espérant que nous pourrons vite regagner votre confiance.merci de votre retour et à bientôt,damien","{'neg': 0.063, 'neu': 0.884, 'pos': 0.053, 'compound': -0.3595}"
valérie gitton,prix tres bien bonne qualité des produits suis fidele . ....continuez vous allez bouffer amozon,24/04/2024,5,0,,,"{'neg': 0.0, 'neu': 0.539, 'pos': 0.461, 'compound': 0.8136}"
muriel,"facilité à trouver se dont on a besoin , explications net et précises",28/04/2024,5,0,,,"{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.6808}"
ib m,"fuyez little boutik sur cdiscount !  j'ai payé 3 , 08€ pour retourner une coque samsung et mon avis négatif a été bloqué par cdiscount .  malgré avoir retourné l'article le 5 avril ,  je suis prélevé le 24 avril .  le service client demande le numéro de suivi du retour ,  sans aucune politesse .  amazon est bien meilleur ,  cdiscount n'est plus ce qu'il était . ",24/04/2024,1,1,25/04/2024,"bonjour ib m,[mise à jour : votre commande est bien remboursée et les échéances suivantes sont annulées.]--vous avez visiblement eu une mauvaise expérience et j'en suis désolé.mes collègues du service clients ont sûrement besoin du numéro de suivi pour s'assurer que le colis de retour est bien arrivé : c'est ce qui permettra de vous apporter une solution. mais il n'est pas dans leurs habitudes d'êtres désagréables 😞je vous envoie une demande d'informations pour faire le point.je vous invite aussi à consulter les conditions de publication des avis si votre message n'a pas été publié ➡️ https://www.cdiscount.com/avis-cgv.htmlà bientôt,damien","{'neg': 0.046, 'neu': 0.871, 'pos': 0.083, 'compound': 0.5826}"
dabonneville,"satisfaite de vos service ,je suis cliente depuis 17ans ,vous avez également un bon s . a . v en cas de problème avec les commandes ou de produit défectueux . ",25/04/2024,5,1,25/04/2024,"bonjour,c'est la moindre des choses 😉 il y a toujours une solution en cas de problème mais c'est important de le rappeler !merci de votre fidélité et à bientôt sur le site ☀️damien","{'neg': 0.177, 'neu': 0.643, 'pos': 0.18, 'compound': 0.0258}"
champsdelys69,"le robot de cuisine est arrivé incomplet .  les pièces pour la fonction ""moudre""sont manquantes .  après plusieurs écrits et appels au service clients (1 mois d'échanges !),on m'invite à retourner le produit pour remboursement . ..à mes frais ! ces frais me seront paraît-il remboursés forfaitairement .  de guerre lasse ,  j'ai abandonné .  tant pis pour la fonction moudre . .. heureusement ,  les pièces pour les autres fonctions ne sont pas manquantes .  lamantable !",24/04/2024,1,1,24/04/2024,"bonjour,je suis désolé de cette déception 😕visiblement, mes collègues du service clients vous ont proposé une solution en vous indiquant comment renvoyer le produit pour bénéficier d'un remboursement. il n'était peut-être pas possible de vous envoyer seulement la pièce manquante ou de procéder à un échange.si besoin, je vous encourage à recontacter le service clients par téléphone ou dans votre espace client. il y aura toujours quelqu'un pour vous renseigner et pour vous aider.j'espère à bientôt avec une meilleure expérience,damien","{'neg': 0.129, 'neu': 0.806, 'pos': 0.065, 'compound': -0.8316}"
nkqa,il s'agit d'un site e-commerce très fiable proposant des produits de très bon rapport qualité/prix .  leur livraison est rapide et sûr,22/04/2024,5,1,24/04/2024,"bonjour,merci d'avoir pris le temps de partager votre avis ☀️ nous sommes ravis de vous proposer tous ces avantages : comptez sur nous pour continuer !à bientôt sur le site,damien","{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.734}"
michelle,compliquée .  je n'ai pas compris comment choisir les couleurs voulues de sorte que je ne sais pas quelle couleur va m'être livrée . .. dommage .  j'aurais aimé avoir le choix . ,24/04/2024,3,1,25/04/2024,"bonjour michelle,mince 😕 je suis désolé de cette déception ! les fiches produits sont pourtant détaillées d'habitude, pour vous permettre de trouver facilement ce que vous cherchez.la prochaine fois, n'hésitez pas à demander des informations au service clients via le chat, ou à poser une question au vendeur via la fiche produit (pour les produits marketplace).➡️ https://clients.cdiscount.com/frequentlyaskedquestions.html?userinput=comment%2520poser%2520une%2520question%2520avant%2520de%2520passer%2520commande%2520%3fj'espère que votre commande vous donnera satisfaction 🤞 et si besoin, n'oubliez pas que le service clients reste à votre disposition pour vous aider !à bientôt j'espère,damien","{'neg': 0.114, 'neu': 0.797, 'pos': 0.089, 'compound': 0.0798}"
maddy lou,"achat électroménager pour 580 euros ,  panne un an après ,  toujours pas réparé après un mois et demi .  je demande retour et remboursement mais rien .  lamentable .  on s étonne que les entreprises françaises marchent mal .  je deconseille fortement",23/04/2024,1,1,24/04/2024,"bonjour maddy lou,je suis désolé de ce délai, et il est bien normal que vous attendiez une solution le plus vite possible.mes collègues du service clients ont sûrement déjà pris en charge votre demande mais je vais me renseigner.je vous envoie une demande d'informations via ce site pour connaître le numéro de la commande concernée.merci de votre retour et à bientôt,damien","{'neg': 0.06, 'neu': 0.827, 'pos': 0.113, 'compound': 0.477}"
dany pailliot,"commande montre tommy hilfiger . délais de livraison largement dépassés , produits envoyés de chine ,cdiscount ne sert que de vitrine . montre défaillante ,2 heures d avance en 24 h .échanges possibles uniquement avec le vendeur  ,renvois demandé ,cdiscount ne s' occupe de rien en fait .avis sur transaction non accepté sur cdiscount ,comme ça ,tout va toujours bien ! bref ,évitez ce site",22/04/2024,1,1,23/04/2024,"bonjour dany,[mise à jour : dans le cas d'une commande marketplace, vous devez contacter le vendeur depuis votre espace client. il est responsable de votre commande et du traitement du sav : c'est lui qui vous apportera une solution. je vous invite à faire cette démarche pour que le produit puisse être pris en charge.]--je comprends votre mécontentement et je ne peux vous laisser sur cette mauvaise impression 🙁je vais vous envoyer un mail depuis ce site pour ensuite envoyer votre message à notre service clients. le vendeur doit vous proposer un retour en france, même s'il est en chine.à tout de suite,damien","{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.865}"
maxime faurie,le pire site web jamais conçu .  ça bloque de partout ça nous redirige aléatoirement (j'ai testé sur plusieurs plateforme et navigateurs). en outre dès qu'on sort du chemin habituel d'achat le site s'effondre .  j'ai passé 3x la même commande parceque ce site de m**de m'empêche de changer l'adresse de livraison . ..,22/04/2024,1,1,23/04/2024,"bonjour maxime,vous avez visiblement eu une mauvaise expérience sur le site et j'en suis désolé 😞vos remarques sont très importantes pour nous : je les fais suivre aux équipes techniques pour que l'on puisse en tenir compte.le site fonctionne pourtant normalement, mais vous avez bien fait de nous le signaler.j'espère à bientôt,damien","{'neg': 0.136, 'neu': 0.818, 'pos': 0.046, 'compound': -0.7438}"
véronique bellagamba,"bonjour , j'ai passé une commande et j'avais 5€ de cagnotte ,  mais le paiement par cb n'a pas été pris en compte !j'ai donc choisi de réglé par paypal et là ,  le bon de 5€ n'apparaissait plus . pouvez vous svp remettre ce bon dans ma cagnotte . mercicordialement",28/04/2024,1,1,29/04/2024,"bonjour véronique,pour cette procédure, je vous encourage à contacter le service clients. je ne peux malheureusement pas l'effectuer depuis ce site 🙁voici les moyens de joindre mes collègues : https://clients.cdiscount.com/frequentlyaskedquestions.html?userinput=comment%2520contacter%2520cdiscount%2520%3fbonne fin de journée,damien","{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.8114}"
oussama dahamna,site n'accepte que les avis positif j'ai acheté un matelas qui c'est déformé après un an et un vendeur qui m'a donner un faux numéro de suivi et heureusement que le service client de la poste mon confirme que le numéro est faux puisque sur site il te montre qu'il a été livré .  a chaque fois que je raconte ça il n'accepte pas de publier ton avis ce qui est très mal honnête,24/04/2024,1,1,26/04/2024,"bonjour oussama,[mise à jour : après vérification, votre commande la plus récente a bien été remboursée. vous pouvez le voir dans votre espace client.pour le matelas, qui est une ancienne commande, notre service clients vous avait bien indiqué la marche à suivre pour faire jouer la garantie du fabricant.]--nous vous avons visiblement déçu et j'en suis désolé 😞les avis sont publiés sur le site selon les conditions décrites sur cette page ➡️ https://www.cdiscount.com/avis-cgv.htmlvous avez dû recevoir un mail pour vous expliquer pourquoi votre message n'a pas pu être publié.et cela ne nous empêche pas de vous apporter une solution en cas de problème : vous pouvez demander au service clients d'intervenir si vous n'êtes pas satisfait des réponses d'un vendeur marketplace. la démarche se fait très simplement dans votre espace client.je vous envoie une demande d'informations pour voir comment nous pouvons vous aider.merci de votre retour,damien","{'neg': 0.106, 'neu': 0.778, 'pos': 0.116, 'compound': 0.2228}"
patrick ameteau,commandé carte google play au bout de 9h d'attente code toujours non reçu .  c'est abusé quand même je ne renouvellerai pas l'expérience,26/04/2024,2,1,29/04/2024,"bonjour patrick,je suis désolé pour ce délai qui semble en effet assez long 🙁j'espère que vous l'avez reçu depuis mais si ce n'est pas le cas, vous pouvez répondre à la demande d'informations que j'envoie depuis ce site.cela me permettra, ensuite, de transmettre votre message à mes collègues du service clients.à tout de suite,damien","{'neg': 0.1, 'neu': 0.9, 'pos': 0.0, 'compound': -0.4404}"
