author,review,review_date,note,response_yesno,response_date,response,neg,neu,pos,compound
G.L,"Congélateur Haïer acheté en mars 2024, manque deux clayettes et 4 supports ( 2 gauche et 2 droit pour les installer).Réclamation faite à plusieurs reprises chez CDiscount!Je les reçois enfin mais ne peux toujours pas les installer car j’ai reçu 4 supports identiques mème côté .Je viens de les rappeler à deux reprises car je reçois un bon de reprise de mon congélateur et non l’accord pour m’envoyer les pièces manquantes…Pas question d’une reprise car je ne vais pas perdre mes denrées surgelées!J’ai rappelé et je reçois un nouveau mail m’informant que la reprise de mon congélateur est acceptée.Hallucinant….Que faire pour que le service client pourtant très aimable comprenne …Ils n’ont qu’à m’en envoyer un 2 eme gratuitement dans ce cas ..",19/05/2024,2,0,,,0.02,0.919,0.062,0.7675
David,"Une bonne quarantaine de commande en un an, jamais un soucis et un service client tres reactik",19/05/2024,5,0,,,0.0,0.86,0.14,0.3818
Marguerite valladon,"Bonjour , j'ai reçu un avis que ma commande de rideaux était disponible au point relais auchan la couronne , je ne peux pas retirer parce que je n'ai pas reçu de code .Merci a votre disposition.",19/05/2024,2,0,,,0.0,0.938,0.062,0.3612
Nakamura Nagazaki,"J'ai acheté une machine à laver sous garantie.Elle a exploser dans mon logement sans raison apparente et sans justificatif.Cdiscount n'a voulu rien savoir.Aucun geste commercial, aucune prise en charge fournisseurs et fabricant.Cdiscount sait vendre mais pour le service client cela ne vaudra pas Darty.",15/05/2024,2,1,15/05/2024,"Bonjour Nakamura Nagazaki,Je suis désolé si nous vous avons déçu, mais nous n'avons pas pour habitude de laisser nos clients sans solution en cas de problème avec un produit.Les conditions de prise en charge varient en fonction des garanties et vous avez dû recevoir des explications dans votre Espace Client.Je vous envoie dans tous les cas une demande d'informations pour vérifier ce qu'il s'est passé.Merci de votre retour,Damien",0.036,0.87,0.093,0.4215
bernard mezzanatti,"Il y a quelques mois , je me suis fait avoir avec Cdiscount a volonté (29 euros) . là je commande une chambre à air qui devait être livrée au max le 15/05/2024 et aucune nouvelle , cela n'est pas normal , je pense qu'il ne me reverrons pas , quesque cette boîte ?",18/05/2024,2,0,,,0.021,0.979,0.0,-0.1984
Linda Soda-pop,"Service après vente infecte, 1mois pour échanger une machine a lavé neuve défectueuse.Prélèvement de l abonnement a volonté contre mon gré, 10jours pour être remboursée ! Aucun geste commercial.Un cauchemar",16/05/2024,2,1,16/05/2024,"Bonjour Linda,Je suis désolé si nous vous avons déçue à ce point, alors que des solutions vous ont visiblement été apportées 😞Notre service clients a pourtant pour habitude de faire le nécessaire rapidement. Il y a sûrement une explication si l'échange de votre appareil a pris du temps et je vous envoie une demande d'informations pour vérifier ce qu'il s'est passé.Je pourrai aussi me renseigner concernant votre abonnement : son montant ne peut pas être prélevé sans votre accord ni sans souscription de votre part.Merci de votre retour et à bientôt,Damien",0.107,0.893,0.0,-0.5411
Alain,"Un achat avec signature à réception qui semble mal parti: réception sur mon smartphone d'un avis précisant que ma commande est livrée ceci 5 jours avant la date prévue. Surprise: pas vu le facteur, rien dans ma boîte aux lettres. Le bureau de poste m'apprend que le n° de colissimo que je détiens a bien été livré mais à une autre personne à 600 km.Le vendeur, Happy end St, avisé avec toutes les preuves réagit très vite, surpris lui-même de l'erreur semble-t-il de Laposte et me demande de patienter quelques jours en m'assurant d'un geste commercial pour le désagrément. Mon smartphone S 23 est effectivement livré 3 jours plus tard ce qui correspond au créneau de livraison prévu lors de ma commande; il correspond par ailleurs en tous points à la description commerciale, neuf, 256 go.5 Étoiles donc pour Happy end St qui est resté très présent jusqu'à la livraison de mon S23, 5 Étoiles pour Cdiscount également présent.Suivi livraison via Cainiao suivi ; regret cependant que le colis ait été simplement remis en boîte aux lettres, vu la valeur aurait dû être remis en mains propres contre signature.",07/05/2024,5,1,14/05/2024,"Bonjour Alain,Merci d'avoir pris le temps de partager votre expérience !Je suis ravi que tout se soit bien passé, avec un vendeur et un service clients à l'écoute !C'est important de le dire aussi 😊À très bientôt j'espère,Damien",0.03,0.87,0.1,0.9227
sylvain,"Richesse de l'offre, tarif, et possibilité d'avoir une remise Cashback avec notre banque.",17/05/2024,5,0,,,0.0,0.814,0.186,0.4939
Claire Correia,"Déçue par mes derniers contacts (obligée de payer les frais de retour  de 10 euros d'un casque enfant qui était trop grand et que je ne pouvais pas utiliser)en indiquant que c'était une rétractation... ce qui n'était pas le cas ! Malgré mes réclamations, aucun geste commercial :(",07/05/2024,3,1,07/05/2024,"Bonjour Claire,Je suis désolé si nous vous avons déçue alors que vous êtes une cliente fidèle !Visiblement votre demande de retour était bien une rétractation : les frais de retour restent à votre charge lorsque vous choisissez de renvoyer un produit qui ne vous convient pas ou si vous changez d'avis.Mais je transmets votre avis au service clients pour voir ce que nous pouvons faire 😉 J'espère en tout cas que nous aurons vite l'occasion de nous rattraper !À bientôt,Damien",0.137,0.823,0.04,-0.6232
renee dupin,"Je peux prendre le temps de choisir ,ainsi je peux rectifier.Depuis dix ans cliente très satisfaite des services de c'discount et de leur écoute lors de conseils .Un grand merci pour les services tel le paiement en 4 fois  .encors un grand Merci.",11/05/2024,5,0,,,0.039,0.806,0.155,0.7089
Christiane Perin,"article facile a trouver, comparatif intéressant et choix très large dans la gamme 12/avis très utiles",12/05/2024,5,1,14/05/2024,"Bonjour Christiane,Merci d'avoir pris le temps de partager votre expérience ! ☀️Nous sommes ravis que vous ayez trouvé votre bonheur sur le site.À très bientôt,Damien",0.0,0.625,0.375,0.7778
Nathalie Ouilani,13 années de fidélité et jamais déçue... Produits toujours conformes aux descriptifs et Cdiscount à volonté c'est le TOP !,10/05/2024,5,1,14/05/2024,"Bonjour Nathalie,Un grand merci pour ce message et pour votre fidélité ☀️Comptez sur nous pour continuer comme ça !À très bientôt,Damien",0.0,0.702,0.298,0.804
REMI FISCHER,"plantages du site, impossible de payer par Paypal ni par American express... j'étais habitué à mieux avec Cdiscount.",18/05/2024,2,0,,,0.067,0.813,0.12,0.2755
Olivier,Bon site. Manque parfois de choix mais les prix peuvent être meilleur qu'amazon ! Il faut comparer mais intéressant et avec cashback !,10/05/2024,5,0,,,0.039,0.564,0.397,0.9199
Cyril CLAVERIE,Livraison beaucoup plus rapide qu'autrefois. Prix très concurrentiel.,20/05/2024,5,0,,,0.0,0.708,0.292,0.5106
Stefany Yael,"Je voulais remercier le livreur, de memoire Marouane qui nous a livré en temps et en heure, il a assuré surtout qu il etait seul pour livrer mon frigo merci Marouane pour votre professionnalisme 👍👍👍",08/05/2024,5,1,14/05/2024,"Bonjour Stefany,Merci d'avoir pris le temps de laisser cet avis et merci pour le livreur 😊À très bientôt sur le site !Damien",0.034,0.813,0.153,0.6486
Dj Li,"Nous n'avons pas doit d'exprimer si on est pas très satisfait? je laisse un avis avec 2 photos après avoir reçu la commande "" un peu léger, emballage trop fragile,  2 dalles reçu cassées"" , puis répondu par mail de Cdiscount ""Conformément à notre politique de traitement des avis clients accessible ici, il ne pourra être publié"" c'est ça, votre stratégie ?L'emballage ne concerne pas le produit ? Ce n'est pas la responsabilité de livraison, faut avoir l'emballage correct.Si vous insistez, ok, y'aura toujours des produits cassés pour vos futurs clients.",13/05/2024,2,1,13/05/2024,"Bonjour  Dj Li,je comprends votre déception concernant votre commande. Et votre avis nous intéresse grandement ! Mais nous avons quelques règles concernant sa publication. Je vous mets le lien ici ⤵https://www.cdiscount.com/avis-cgv.html  A priori, il me semble que votre avis ne concerne pas vraiment le produit mais plus la livraison et c'est pour cette raison qu'il n'a pas pu être publié 🙁À bientôt,Damien",0.018,0.95,0.033,0.3677
jean bockstal,nan,19/05/2024,5,0,,,0.0,1.0,0.0,0.0
Bertrand,"Facile, rapide et un excellent choix. J'espère que Cdiscount continuera malgré les problèmes du groupe",08/05/2024,5,0,,,0.07,0.526,0.404,0.8225
MICHEL CASTERAN,"Du choix, des prix très bien placés et le sérieux de cette enseigne...",20/05/2024,5,0,,,0.096,0.602,0.301,0.5272
nicole pawlak,nan,20/05/2024,5,0,,,0.0,1.0,0.0,0.0
Olivier Madou,fiable rapide et permet un payement sans stresse,20/05/2024,5,0,,,0.0,0.61,0.39,0.4284
frederic,"choix clairs rapides paiement facile , choix de livraison varieé avec cdiscount a volonté ""abonnement annuel""",11/05/2024,5,0,,,0.0,0.838,0.162,0.4404
François BONNIORD,"dans une région où il faut faire des kilomètres, cdiscount est la solutuin",11/05/2024,5,1,14/05/2024,"Bonjour François,Merci d'avoir partagé votre avis ☀️Nous sommes ravis de vous permettre de vous faire plaisir sans bouger de chez vous !À très bientôt sur le site,Damien",0.0,1.0,0.0,0.0
MOT,Site fiable. Livraison plus rapide avec Cdiscount à volonté,13/05/2024,5,1,15/05/2024,"Bonjour MOT,Merci d'avoir pris le temps de partager votre avis ! ☀️C'est vrai qu'il est très avantageux cet abonnement 😉 J'espère que vous profitez aussi de la cagnotte !À très vite,Damien",0.0,0.816,0.184,0.2023
Bruno BORDIN,"vaste choix, prix compétitifs, livraison rapide",20/05/2024,5,0,,,0.0,0.602,0.398,0.5106
maryse cauchard,BON PRODUIT QUALITE PRIX PAIEMENT RAPIDE SECURISE ET BON SERVICE APRES VENTE,07/05/2024,5,0,,,0.0,0.423,0.577,0.9074
NOWAZYK,nan,20/05/2024,5,0,,,0.0,1.0,0.0,0.0
NEMOZ-GAILLARD PAUL-ROGER,J'ai comparé et trouvé le produit:rapidement et au bon prix.,09/05/2024,5,0,,,0.0,0.604,0.396,0.7096
JOCELYN GOTORBE,"depuis longtemps avec Cdiscount, performante et toujours à l'écoute.",11/05/2024,5,0,,,0.0,1.0,0.0,0.0
Christian FROUIN,Toujours Bien dirigé dans nos recherche de produit,11/05/2024,5,0,,,0.0,0.854,0.146,0.0516
Stéphane,"Les recherches sont compliquées et quand on cherche un modèle précis, vous nous arrosez de tout ce que nous ne voulons pas. C'est pénible.",09/05/2024,3,1,13/05/2024,"Bonjour Stéphane,je vous remercie d'avoir pris le temps de partager votre impression concernant notre site. Cela nous permet de nous améliorer 😉À bientôt,Damien",0.061,0.878,0.061,-0.0021
Marie-Pierre RICCI-SOUBRAT,"Site clair et facile. Nombreux choix d'articles, prix intéressant, livraison rapide.",06/05/2024,5,1,07/05/2024,"Bonjour Marie-Pierre,Merci d'avoir pris le temps de partager votre avis !Nous sommes ravis de vous proposer tous ces avantages toute l'année ☀️À très vite,Damien",0.0,0.41,0.59,0.8885
Dechambre Franck,"site facile à utiliser, des réductions proposés, facilité de paiementsite sérieux et fiable",07/05/2024,5,1,14/05/2024,"Bonjour Franck,Merci d'avoir pris le temps de partager votre expérience !C'est un plaisir pour nous de vous permettre de faire vos achats en toute simplicité, et à petits prix ☀️À bientôt !Damien",0.089,0.503,0.408,0.6908
Albert HELLUIN,nan,20/05/2024,5,0,,,0.0,1.0,0.0,0.0
romain,bon tarif et service très performant lors des problèmes rencontrés,06/05/2024,5,1,07/05/2024,"Bonjour Romain,Merci pour cet avis et pour les 5⭐ !C'est important de le dire aussi quand tout va bien, même en cas de problème 😉À très bientôt,Damien",0.131,0.656,0.213,0.25
Frédéric Alliaume,Le sérieux et l'ancienneté de l'entreprise,18/05/2024,5,0,,,0.186,0.814,0.0,-0.1531
omar bensalah,nan,15/05/2024,5,1,16/05/2024,"Bonjour Omar,Merci à vous 😊 Ce sont nos clients qui sont au top !Je vous dis à très bientôt,Damien",0.0,1.0,0.0,0.0
ERIC HERMANS,nan,16/05/2024,4,1,16/05/2024,"Bonjour Eric,Merci d'avoir pris le temps de partager votre avis ! Que pourrions-nous améliorer d'après vous pour mériter une ⭐ de plus ?Je vous dis à bientôt 😊Damien",0.0,1.0,0.0,0.0
julia Bertaud,"Dvd acheter recemment, ,plutôt satsfaite!",19/05/2024,4,0,,,0.0,1.0,0.0,-0.0377
ISABELLE DESMARES,Réponse claire et prise en compte pour la difficulté de la livraison,07/05/2024,5,0,,,0.138,0.517,0.345,0.5574
Brigitte Levet,facilité de commande et de paiement,16/05/2024,5,0,,,0.0,0.658,0.342,0.3818
Antonio Barba,Toujours des prix attractifs et un service rapide et de qualité,06/05/2024,5,1,07/05/2024,"Bonjour Antonio,Merci d'avoir pris le temps de partager votre avis ☀️ et comptez sur nous pour continuer à vous proposer des bons plans toute l'année !À très bientôt,Damien",0.0,0.752,0.248,0.5106
alain escot,a voir par apport les envoie rapide Cdiscount a volonté,05/05/2024,5,1,06/05/2024,"Bonjour Alain,Merci pour cet avis et merci de votre confiance !Vous allez voir, l'abonnement est très avantageux pour les livraisons mais pas seulement 😉https://www.cdiscount.com/cdavÀ bientôt sur le site !Damien",0.0,1.0,0.0,0.0
client(e),nan,13/05/2024,5,0,,,0.0,1.0,0.0,0.0
Rose Rose,"Et cela continue: suite à mon mécontentement""ARNAQUE CARTE DISCOUNT/FLOA BANQUE 100"" soit disant CDISCOUNT m'a envoyé un message privé: Je vous envoie aussi une demande d'informations pour vérifier ce qu'il s'est passé et transmettre votre avis au service clients.Merci de votre retour,DamienRESULTAT/ JE N'AI RIEN RECU: on se moque vraiment des gens!",20/05/2024,1,0,,,0.093,0.878,0.029,-0.747
Dominique Monteignies,"J'ai acheté cette montre le 12/04/2024, et elle ne fonctionne déjà plus. Je vérifie si c'est la pile, car on m'a mis une pile de remplacement qui n'est même pas le même modèle de pile à l'intérieur de la montre. Je suis vraiment déçu car je suis un bon client chez vous. Vendu par Awin. je ne recommande pas ce produit.",13/05/2024,2,1,14/05/2024,"Bonjour Dominique,Je suis désolé si ce produit vous a déçu 😕 mais il y a sûrement une solution.N'hésitez pas à contacter le vendeur pour lui faire part de la situation : il est responsable de votre commande et pourra vous aider.Vous pouvez faire cette démarche très simplement en vous connectant à votre Espace Client ➡️ https://clients.cdiscount.com/Account/Login.htmlLe service clients reste aussi votre écoute si besoin, toujours via votre Espace Client.J'espère à bientôt avec de meilleures nouvelles,Damien",0.025,0.912,0.064,0.4574
delphine illide,cool on verra la livraison,13/05/2024,5,1,15/05/2024,"Bonjour Delphine,Merci pour cet avis et pour votre confiance ☀️ N'hésitez pas à nous tenir informés une fois votre commande reçue !À très bientôt,Damien",0.0,0.714,0.286,0.1531
bruno cochard,que le livreur signale de son passage par telephone !!!!,11/05/2024,3,1,13/05/2024,"Bonjour Bruno,vous avez raison ! Il est préférable que le livreur signaler son arrivée par téléphone. Je ne sais pas de quel était le service de livraison mais n'hésitez pas à le signaler à votre expérience 😉À bientôt,Damien",0.0,1.0,0.0,-0.1491
mallet,produits de qualité parfaitement adaptés à la demande.programme de fidélité optimisé,17/05/2024,5,0,,,0.0,0.513,0.487,0.765
Amandine,tres bon site je suis trés conte de cdiscount.,19/05/2024,5,0,,,0.0,0.755,0.245,0.3818
Mr Alain MONGIN,D'une façon générale très satisfait de CDISCOUNT.,11/05/2024,5,0,,,0.0,0.77,0.23,0.3367
DIDIER VINGADASSALON,Tout s'est bien déroulé lors de la commande...,14/05/2024,5,1,15/05/2024,"Bonjour Didier,C'est parfait alors ☀️ et merci d'avoir pris le temps de le dire ! C'est important pour nous de le savoir quand tout va bien.À bientôt !Damien",0.0,0.686,0.314,0.2982
Philippe,Parfait merci encore,19/05/2024,5,0,,,0.0,0.2,0.8,0.4588
Véronique CONSTANT,Parfait et rapide,16/05/2024,5,0,,,0.0,0.571,0.429,0.128
Cantin Sylvie,bien expliquer,20/05/2024,5,0,,,0.0,0.455,0.545,0.0516
SEBASTIEN HAPPILLON,trés bien satisfait.,15/05/2024,5,0,,,0.0,0.25,0.75,0.25
JEAN PAUL TRANCHANT,nan,20/05/2024,5,0,,,0.0,1.0,0.0,0.0
B.Harron,Cdiscount ne prend pas en considération les avis clients ! 2 commandes et 2 problèmes..réponse laconique quand il y a une réponse du vendeur ....Bref pour moi c'est fini !,08/05/2024,2,1,13/05/2024,"Bonjour B.Harron,je comprends votre déception concernant ces commandes mais je peux vous assurer que les avis des clients sont vraiment importants pour nous ! Cela nous permet d'améliorer nos services comme nos produits.Je vous propose de répondre à ma demande d'informations pour que je puisse transmettre votre message à notre service clients. Nous ne pouvons pas vous laisser sur cette mauvaise impression !À tout de suite,Damien",0.0,1.0,0.0,-0.1808
patrice magnier,merci très rapide et surtout peut cher,14/05/2024,5,1,15/05/2024,"Bonjour Patrice,Merci pour votre avis et votre confiance 😊Comptez sur nous pour continuer à vous proposer des bonnes affaires toute l'année !À bientôt sur le site,Damien",0.0,0.495,0.505,0.6249
VINCENT GARAIX,"très bon prix, pour des articles de marque",19/05/2024,5,0,,,0.0,0.481,0.519,0.7559
Juliand,"Dommage qu'on ne puisse pas mettre 0, renouvellement abusifs de Cdiscount a volonté , alors que ma carte n'était pas enregistré sur le site justement pour éviter ça .... , pour prévenir du renouvellement ? Un mail spams reçu un jour a 1h du matin avec un titre ""L'équipe Cdiscount"" , j'ai contacter Cdiscount pour annuler et demander un remboursement , ils ne peuvent rien faire !!! Mon œil , c'est le pire chez la concurrence quand on enregistre pas sa CB il n'y pas de renouvellement prenez exemple !! Et chez la concurrence si problème il y arrangement , Prenez exemple",18/05/2024,1,0,,,0.133,0.867,0.0,-0.9149
plaudin laurent,service client toujours prêts a résoudre les problèmes,05/05/2024,5,1,06/05/2024,"Bonjour Laurent,Merci de souligner l'efficacité de mes collègues du service clients 😊 C'est vrai qu'ils sont toujours là pour vous aider !À très bientôt,Damien",0.154,0.481,0.365,0.296
NATHALIE BOUCHER,très bon site je commande régulièrement,10/05/2024,5,1,14/05/2024,"Bonjour Nathalie,Merci de votre confiance et de votre fidélité ☀️À très vite,Damien",0.0,0.633,0.367,0.4391
delphine,"rapide, beaucoup de choix, facile de commander",06/05/2024,5,0,,,0.0,0.655,0.345,0.4877
Jean-Marie Collet,nan,09/05/2024,5,0,,,0.0,1.0,0.0,0.0
Mickael,Nombreux choix avec divers tarifs et visuels,05/05/2024,5,0,,,0.0,1.0,0.0,0.0
patricia lavarde,10 ans d'achat a cédiscount jamais déçue,08/05/2024,5,0,,,0.0,0.822,0.178,0.2047
roger estienne,je suis satisfait,15/05/2024,4,1,15/05/2024,"Bonjour Roger,Merci d'avoir partagé votre avis et merci de votre confiance 😉Que pourrions-nous faire de plus pour mériter les 5⭐ ?Nous restons à votre écoute !À bientôt,Damien",0.0,0.526,0.474,0.2023
jacques lafon,",En février 2024, J’ai acquis une motobineuse  ( BCIE sarl) qui ,au bout de moins de deux heures d’usage ,s’est révélée très dangereuse (erreurs de montage).J’en ai n’ai jamais demandé le retour de la machine ou la moindre indemnisation, juste des conseils……Un monsieur Alex m’a enfumé pendant 3 semaines’ soutenu par Cdiscount.Après des recherches sur le web, j’ai appris queBCIE sarl raison sociale de bc electronics vendeur de la machine EST FERMÉE depuis le 30/06/2021                   Mis à jour le 20/05/2024Alors, qui m’a vendu la machine? Qui est monsieur Alex?",20/05/2024,1,0,,,0.05,0.905,0.045,-0.6238
Evelyne Doitrand,Site a fuirObligé de mettre une étoile pour pouvoir écrire ce message mais ne le merite pas. Une enseigne à supprimer totalement. Un portable acheté en décembre 2023.Renvoye debut février 2024 car ecran noir. Depuis des messages et des appels sans vraiment de réponse en essayant de nous dire que le portable avait été ouvert. Début mai annonce du remboursement et depuis rien malgré de nouveax appels. Site à fuir,20/05/2024,1,0,,,0.032,0.905,0.062,0.3595
Arnau,"Bonjour, je devais recevoir mon colis sur Narbonne et le sms d'aujourd'hui m'indique qu'il est à retirer sur Montredon des Corbières. Je ne peux pas aller le chercher et je n'ai personne pour y aller à ma place. Étant donné qu'il sera renvoyé à l'expéditeur, combien de temps pour être remboursé ?? J'ai déjà eu quelques soucis avec Cdiscount, je suis vraiment déçu encore une fois.",17/05/2024,1,1,17/05/2024,"Bonjour Arnau,Je comprends tout à fait votre déception et il y a certainement une explication si le colis n'a pas été livré au point prévu ! Je vous encourage à contacter le service clients, pour qu'ils puissent vérifier ce qu'il s'est passé.➡️ https://clients.cdiscount.com/contact-service-client.htmlS'il ne vous est pas possible de récupérer votre commande, elle sera automatiquement renvoyée chez Cdiscount et remboursée dès réception.J'espère que nous aurons une occasion de rattraper cette déception !A bientôt,Damien",0.053,0.911,0.036,-0.3094
Maximilien DERIVE,"Nous avons commandé un sèche-linge en novembre 2023 et en avons profité pour souscrire à la carte cdiscount. Nous devions obtenir une offre de bienvenue de 100€, mais nous ne l’avons jamais eue. Nous avons pourtant contacté le service client à 4 reprises, nous indiquant chaque fois un retour de la part de cdiscount dans les 48 heures. Dans les faits, nous n’avons jamais été recontactés. C’est juste inadmissible !!",20/05/2024,1,0,,,0.093,0.786,0.12,0.6199
Stéphane,Très bonne plateforme d'achat en ligne.,09/05/2024,5,0,,,0.0,0.675,0.325,0.4391
Emma,"Très bon site, on trouve de tout à prix attractif.",15/05/2024,4,1,16/05/2024,"Bonjour Emma,Merci d'avoir pris le temps de partager votre avis ☀️ Et n'hésitez pas à nous dire ce que nous pourrions améliorer pour mériter les 5⭐ !Je vous dis à bientôt sur le site,Damien",0.0,0.47,0.53,0.7841
jean louis Royer,comme d habitude parfait,09/05/2024,5,0,,,0.0,0.667,0.333,0.128
Marc C,nan,05/05/2024,5,0,,,0.0,1.0,0.0,0.0
parthenay,nan,20/05/2024,5,0,,,0.0,1.0,0.0,0.0
MIchel,nan,16/05/2024,5,0,,,0.0,1.0,0.0,0.0
serge rastouil,nan,07/05/2024,5,0,,,0.0,1.0,0.0,0.0
johnny,"Attention chers client(e)s.Les avis postés sur le site cdiscount sont bidons.Si votre avis est positif au produit, il sera posté sinon l'avis négatif n'est pas publier.Donc ARNAQUE",19/05/2024,1,0,,,0.049,0.621,0.33,0.8668
Jacques LE BLOND,"Le site m'a demandé un avis sur un article. Je réponds sincèrement et sans injure pour signaler que l'article que j'avais reçu m'était parvenu dans un emballage dix fois trop grand. Mon avis n'a pas été publié ce qui ne m'a pas étonné car lors d'un précédent avis, également refusé, je faisais aussi mention que les emballages était démesuré par rapport au contenu que se soit ceux envoyés par Cdiscount ou par certains sites marchands affiliés. Les photos transmises à la plateforme en attestent",15/05/2024,1,1,16/05/2024,"Bonjour Jacques,Vous avez visiblement eu une mauvaise expérience et j'en suis désolé 😕Votre avis est très important pour nous, et nous publions tous les messages de nos clients dès lors qu'ils respectent nos conditions d'utilisation.Je vous invite à les consulter ici ➡️ https://www.cdiscount.com/avis-cgv.htmlLes avis portent sur les produits en eux-mêmes et leur utilisation, et les messages qui évoquent la livraison peuvent en effet être refusés.Nous sommes aussi très attentifs aux emballages et nous voulons éviter au maximum d'en utiliser trop.Je fais passer le mot, mais n'hésitez pas à contacter le service clients pour toute question ou remarque sur une commande : il y aura toujours quelqu'un pour vous renseigner.À bientôt j'espère,Pierre",0.043,0.878,0.078,0.3335
Elise Jeannot,"J'aurais voulu mettre zéro étoile, mais cela n'est pas possible. Commande le 21 avril pour une livraison annoncée au plus tard le 6 mai. Livraison repoussée au 16 mai. Appel service client, réponse pas de souci vous allez recevoir la commande. Appel le 16 mai commande toujours pas expédiée. Dans l'intervalle le produit est maintenant indisponible. Je n'ai pas vu la demande de contact de Damien de Cdiscount. J'ai recontacté le service client, aucune information, aucun délai à me transmettre.",18/05/2024,1,1,16/05/2024,"Bonjour Elise,Je suis désolé de ce délai et de cette expérience désagréable 😕 Nous aussi, nous préférons lorsque vos commandes sont bien livrées dans les temps !N'hésitez pas à rester en contact avec mes collègues du service clients (ou le vendeur marketplace) dans votre Espace Client ➡️ https://clients.cdiscount.com/Account/Login.html Vous pourrez y suivre l'évolution de votre commande.Je vous envoie aussi une demande d'informations pour me renseigner.Merci de votre retour et à bientôt,Damien",0.0,0.981,0.019,0.3699
Valérie SCHMITT,"Une entreprise géniale, très sérieuse et professionnelle.",08/05/2024,5,0,,,0.152,0.544,0.305,0.3415
michel puigserver,nan,12/05/2024,5,0,,,0.0,1.0,0.0,0.0
LIO,"Mis à part les tarifs incohérents, la nouvelle politique de protection des vendeurs me fait passer chez Amazon. Tout a changé et cdiscount n'est plus un site valable. Ils vendent des contrefaçons.",17/05/2024,1,1,17/05/2024,"Bonjour Lio,Nous sommes particulièrement attentifs à la qualité des produits vendus sur notre site et si vous avez le moindre doute, il ne faut pas hésiter à le signaler auprès de notre service clients. Je vous invite d'ailleurs à répondre à la demande d'informations que je vais envoyer depuis Trustpilot. Cela me permettra de transmettre votre message et ne pas vous laisser sur cette mauvaise impression 😉.À bientôt,Damien",0.034,0.886,0.08,0.3818
